,node_idx,node_pos_X,node_pos_Y,prod_code,prod_description,PCI,Density_ARG,RCA_ARG,RCA>=1_ARG,Export_values_ARG,COG_ARG,RCA_BRA,RCA_DEU,RCA_CHN,prod_category,category_description
0,0,-0.23571402828211827,-0.6699291496402041,460120,"Mats, matting and screens, vegetable plaiting materia",-1.9831005632243857,0.06963986624986848,0.0,False,0.0,-0.24236492185634165,0.01242288694681877,0.2573336612154828,5.836284526390938,IX,"Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados"
1,1,0.17369918612601865,0.14690445415752487,730820,"Towers and lattice masts, iron or steel",-0.631842185992414,0.09795931635619788,0.12357735358364301,False,1450602.2,-0.2680551015553668,0.44838253204282374,0.7689132791906682,1.4755179758544013,XV,Metales comunes y sus manufacturas
2,2,0.149374272862388,0.3303771498408855,732111,"Cooking appliances for gas fuel, etc, iron or steel",-0.2583664379077525,0.08349246031389795,0.009406648598524458,False,169610.4,-0.03151946094989383,0.4675803392079343,0.27998941420867424,3.0088159336994025,XV,Metales comunes y sus manufacturas
3,3,0.2695610808527713,0.30995449472426645,732490,"Sanitary ware and parts thereof, iron or steel, nes",0.34449352993866,0.08733221565881298,0.02680800107124604,False,135885.6,0.02464728607469135,0.04950954922036576,1.498417846368466,3.463469769725566,XV,Metales comunes y sus manufacturas
4,4,0.08490749024861542,0.545940492298629,840290,Parts of steam or vapour generating boilers nes,0.3606946940857118,0.07578246141790643,0.10599208506771157,False,1186136.2,0.041841882269830974,0.12202683944589204,0.5560819259324,2.1731227403268605,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
5,5,0.06605377590224251,0.6060847656592026,840410,Auxiliary plant for steam/vapour generating boilers,0.4304218618076769,0.06676162485396772,0.004388689503973915,False,13984.4,0.17808016799028656,0.34804547991071205,0.5883641863534737,2.5092677605622358,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
6,6,-0.4864253708980655,-0.053794996979953984,840510,"Producer, water and acetylene gas generators",0.06292646957161106,0.1030937102333809,0.1353178045626464,False,274591.2,-0.027012079997491757,0.3538432409386819,0.8951863791221922,0.5372982622737741,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
7,7,-0.9120679322311451,-0.13935885744589166,840619,Steam and vapour turbines nes,1.2776426827035339,0.08024083048164973,4.6372928621214995e-05,False,276.0,0.33661544738655225,2.1194394873879494,2.176253197544463,0.9269070953241522,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
8,8,0.23613991704402074,0.5448839128653045,840999,Parts for diesel and semi-diesel engines,0.8848354047602819,0.09791386333477299,0.6786288035352724,False,78199300.6,0.10405299088449778,2.193454941925447,2.8890755227029272,0.45917991316437434,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
9,9,-0.06667736331344254,0.5341781736906228,841011,"Hydraulic turbines, water wheels, power < 1000 kW",0.20676251305972337,0.08510244716547806,0.39524306392743286,False,152232.4,0.13910878512426564,0.31112789140570624,1.3387439232572806,0.9295199244148938,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
10,10,-0.02223917518862131,0.4999515726176247,841012,"Hydraulic turbines, water wheels, power 1000-10000 kW",0.48443019038766183,0.08029971280568116,0.02631271784441544,False,10358.4,0.13026237402592986,0.7276927056259302,1.835632163729923,1.1999725806665544,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
11,11,0.04424903024192309,0.46594899054954436,841090,Parts of hydraulic turbines and water wheels,0.16498076995206618,0.08981768469687647,0.9419107948783139,False,3727080.0,-0.01770928719042581,2.024643707051514,0.8195210676783431,1.8026494500864592,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
12,12,-0.5988803167914281,-0.48950115504272124,841181,Gas turbine engines nes of a power < 5000 kW,1.089869372288054,0.09754126487022453,0.039335995216470354,False,322320.6,0.23090233947104133,0.4044719088596346,0.49095433836090924,0.057302356993605454,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
13,13,-0.6269620982741834,-0.5316174265163015,841182,Gas turbine engines nes of a power > 5000 kW,0.054680078783681606,0.10037796064403952,0.21289796694667498,False,5769586.4,0.26717029276280585,0.0861419684655768,0.9992306480167329,0.11666653056194683,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
14,14,-0.4545181193325459,0.2118000102256874,841861,Compression refrigeration equipment with heat exchang,1.1206672392069035,0.08310571561659945,0.0026755890275087266,False,20935.8,0.22819438883508897,0.01850675942961116,1.4804161538797935,0.6366891132062887,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
15,15,0.07460914893708553,0.6480670690403942,841919,"Instantaneous/storage water heaters, not electric nes",0.44802742452968036,0.09728742978510974,0.24582209718927112,False,1554621.6,0.08297528153227463,0.035621480200425416,1.2836515950232887,0.650602991070226,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
16,16,0.43945668051386144,0.04468267146424441,841950,"Heat exchange units, non-domestic, non-electric",1.4804453988157316,0.08856736895637082,0.1442907317060306,False,5102514.4,0.2870277297990991,0.2552006133632897,1.4895670069005789,0.7042946751056222,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
17,17,-0.669743556303843,-0.37332850080944,847989,Machines and mechanical appliances nes,2.2411236341942686,0.06011087589086974,0.10669871035778401,False,19223043.0,0.481163047257979,0.2344614087236424,2.1063642703427528,0.5478850755114226,XVI,"Aparatos mecánicos y eléctricos, sus partes y accesorios"
