SubPartidas Arancelarias,Descripción del producto
030235,"Atunes comunes o de aleta azul Thunnus thynnus, frescos o refrigerados"
030236,"Atunes del sur Thunnus maccoyii, frescos o refrigerados"
030239,"los demas atunes, frescos o refrigerados, excluido los higados, huevas"
030240,"arenques frescos o refrigerados, excludos filetes, higados, huevas y l"
030250,"bacalaos frescos o refrigerados, excluidos filetes, higados, huevas y"
030261,"sardinas, sardinelas y espadines frescos o refrig. excluido filete, hi"
030262,"eglefinos frescos o refrigerados, excluidos filetes, higados, huevas y"
030263,"carboneros frescos o refrigerados, excluidos filetes, higados, huevas"
030264,"caballas frescas o refrigeradas, excluidos filetes, higados, huevas y"
030265,escualos.
030266,"anguilas(anguilla spp)frescos o refrigerados, excepto higados, huevas"
030267,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0
030268,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0
030269,"los demas pescados frescos o refrigerados, excluye filetes, higados, h"
030270,"higados, huevas y lechas fresca o refrigeradas"
030310,"salmones del pacifico congelado, excluidos filetes, higados, huevas y"
030311,"Salmones rojos Oncorhynchus nerka, congelados"
030319,"Salmones del Pacífico Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha"
030321,"truchas congeladas, excluidos los filetes, higados, huevas y lechas."
030322,"salmones del atlantico y del danubio congelados, excluido filete, higa"
030329,"los demas salmonidos congelados, excluidos filete, higado, huevas y le"
030331,"halibut congelado, excluido filetes, higados, huevas y lechas"
030332,"sollas congeladas, excluido filetes, higados, huevas y lechas."
030333,"lenguados congelados, excluidos filetes, higados, huevas y lechas."
030339,"los demas pescados planos congelados, excluido filetes, higados, hueva"
030341,"albacoras o atunes blancos congelados excluido filete, higado, huevas"
030342,"atunes de aleta amarilla congelados, excluido filete, higado, huevas y"
030343,"listados o bonitos de vientre rayado congelados, exc. filete, higados,"
030344,"Patudos o atunes ojo grande Thunnus obesus, congelados"
030345,"Atunes comunes o de aleta azul Thunnus thynnus, congelados"
030346,"Atunes del sur Thunnus maccoyii, congelados"
030349,"los demas atunes congelados, excluido filetes, higados, huevas y lecha"
030350,"arenques congelados, excluidos filetes higados, huevas y lechas."
030351,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Aren
030352,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Aren
030360,"bacalaos congelados, excluidos filetes higados, huevas y lechas."
030361,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Pez
030362,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Pez
030371,"sardinas, sardinelas , espadines congelados, excluido filete, higados,"
030372,"eglefinos congelados, excluidos filetes, higados, huevas y lechas."
030373,"carboneros congelados, excluido filetes higados, huevas y lechas."
030374,"caballas congeladas, excluido filetes higados, huevas y lechas."
