SubPartidas Arancelarias,Descripción del producto
340420,ceras de polietilenglicol.
340490,las demas ceras artificiales y ceras preparadas
340510,"betunes , cremas y preparaciones similares para el calzado o para cuer"
340520,encausticos y preparaciones similares para la conservacion de muebles
340530,"lustres y preparaciones similares para carrocerias, excepto las prepar"
340540,"pastas, polvos y demas preparaciones para fregar."
340590,"lustres para carroceria, vidrio o metal"
340600,"velas, cirios y articulos similares"
340700,"pastas para modelar, incluidas las presentadas para entretenimiento de"
350110,caseina.
350190,caseinatos y demas derivados de la caseina
350211,ovoalbumina seca
350219,las demas albuminas
350220,"lactoalbumina, incluidos los concentrados de dos o mas proteinas de la"
350290,"las demas albuminas, albuminatos y demas derivados de las albuminas."
350300,"gelatinas (aunque se presenten en hojas cuadradas o rectangulares, inc"
350400,"peptonas y sus derivados, las demas materias proteicas y sus derivados"
350510,dextrina y demas almidones y feculas modificados.
350520,colas
350610,productos de cualquier clase utilizados como colas o adhesivos acondic
350691,adhesivos a base de caucho o de materias plasticas (incluidas las resi
350699,las demas colas y adhesivos preparados.
350710,cuajo y sus concentrados.
350790,las demas enzimas y preparaciones enzimaticas.
360100,polvoras de proyeccion.
360200,"explosivos preparados, excepto las polvoras de proyeccion"
360300,"mechas de seguridad; cordones detonantes, cebos y capsulas fulminantes"
360410,articulos para fuegos artificiales.
360490,"cohetes de señales o granifugos y similares, petardos y demas articulo"
360500,"cerillas y fosforos, excepto los articulos de pirotecnia de la partida"
360610,combustibles liquidos y gases combustibles licuados en recipientes de
360690,los demas ferrocerio y demas aleaciones piroforicas.
370110,"placas y peliculas planas, para rayos x, sensibilizadas, sin impresion"
370120,peliculas autorrevelables.
370130,las demas placas y peliculas planas en las que un lado exceda de 255mm
370191,"placas y peliculas planas para fotografia en colores, sensibil. sin im"
370199,"las demas placas y peliculas planas, fotograficas, sensibilizadas, sin"
370210,"peliculas fotograficas en rollos, sensibilizadas, sin impresionar para"
370220,peliculas autorrevelables.
370231,"las demas peliculas, sin perforar de 105 mm de anchura maxima para fot"
370232,"las demas peliculas, sin perforar de 105 mm con emulsion de halogenuro"
370239,"las demas peliculas, fotograficas en rollos, sin perforar,anchura hast"
370241,"las demas peliculas, sin perforar, de anchura superior a 610 mm y long"
370242,"las demas peliculas , sin perforar, de anchura superior a 610 mm y lon"
370243,"las demas peliculas, sin perforar, de anchura superior a 610 mm y long"
370244,"las demas peliculas,sin perforar, de anchura superior a 105 mm , sin e"
370251,"peliculas fotograficas en colores, de anchura inferior o igual a 16 mm"
370252,las demas peliculas para fotografia en colores de anchura maxima de 16
370253,"las demas peliculas para diapositivas, de anchura superior a 16 mm per"
370254,"peliculas fotograficas en colores, de anchura superior a 16 mm pero in"
370255,"las demas peliculas para fotog.en color, de anchura superior a 16 mm p"
370256,las demas peliculas para fotografia en color de anchura superior a 35
370291,las demas peliculas para fotografia de anchura inferior o igual a 16 m
370292,las demas peliculas para fotografia de anchura inferior o igual a 16 m
370293,las demas peliculas para fotografia de anchura superior a 16 mm pero i
370294,las demas peliculas para fotografia de anchura superior a 16 mm pero i
370295,las demas peliculas para fotografia de anchura superior a 35 m .
370310,"papel, carton y textiles, fotograficos, sensibilizados, sin impresiona"
370320,"los demas papel, carton y textiles, para fotografia en colores policro"
370390,"los demas papel, carton textiles fotograficos"
370400,"placas, peliculas, papel, carton y textiles, fotograficos, impresionad"
370510,placas y peliculas impresionadas para la reproduccion offset
370520,"microfilmes, impresionados y revelados"
370590,"las demas placas y peliculas, fotograficas, impresionadas y reveladas."
370610,"peliculas cinematograficas, impresionadas y reveladas, de anchura supe"
370690,"las demas peliculas cinematograficas, impresionadas y reveladas, con r"
370710,emulsiones sensibles para superficies
370790,las demas preparaciones quimicas para uso fotografico.
380110,grafito artificial.
380120,grafito coloidal o semi coloidal.
380130,pastas carbonadas para electrodos y similares para revestimiento inter
380190,las demas preparaciones a base de grafito o de otros carbonos
380210,carbon vegetal activado
380290,las demas materias minerales naturales
380300,"tall oil, incluso refinado."
380400,"lejias residuales de la fabricacion de pastas de celulosa, concentrada"
380510,"esencia de trementina, de madera de pino o de pasta celulosica al sulf"
380520,aceite de pino.
380590,"las demas esencias de trementina, de madera de pino, de pasta celulosi"
380610,colofonias.
380620,sales de colofonia o de acidos resinicos
380630,goma ester.
380690,los demas acidos resinicos y sus derivados.
380700,alquitranes de madera; aceites de alquitran de madera; creosota de mad
380810,insecticidas.
380820,fungicidas.
380830,"herbicidas, inhibidores de germinacion y reguladores del crecimiento d"
380840,desinfectantes.
380850,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380890,los demas raticidas y similares
380891,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380892,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380893,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380894,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380899,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germ"
380910,aprestos y productos de acabado a base de materias amilaceas.
380991,los demas aprestos y productos de acabado del tipo de los utilizados e
380992,aprestos y productos de acabado del tipo de los utilizados en la indus
380993,aprestos y productos de acabado del tipo usado en la ind. cuero y simi
381010,preparaciones para el decapado de los metales; pasta y polvos para sol
381090,los demas preparaciones para el decapado de los metales
381111,"preparaciones antidetonantes, a base de compuestos de plomo."
381119,las demas preparaciones antidetonantes
381121,aditivos para aceites lubricantes que contengan aceites de petroleo o
381129,los demas aditivos para aceites lubricantes
381190,los demas aditivos preparados para aceites lubricantes
381210,aceleradores de vulcanizacion preparados
381220,plastificantes compuestos para caucho o para materias plasticas.
381230,preparaciones antioxidantes y demas estabilizantes compuestos para cau
381300,preparaciones y cargas para aparatos extintores; granadas y bombas ext
381400,"disolventes y diluyentes organicos compuestos, no expresados ni compre"
381511,catalizadores sobre soporte con niquel o sus compuestos como sustancia
381512,catalizadores sobre soporte con metales preciosos o sus compuestos com
381519,los demas catalizadores sobre soporte.
381590,"los demas iniciadores y aceleradores, de reaccion."
381600,"cementos, morteros, hormigones y preparaciones similares, refractarios"
381700,"Mezclas de alquilbencenos y mezclas de alquilnaftalenos, obtenidas por alquilación del ben"
381710,mezclas de alquilbencenos.
381720,mezclas de alquilnaftalenos.
381800,"elementos quimicos impurificados para uso en electronica, en discos,"
381900,liquidos para frenos hidraulicos y demas preparaciones liquidas para t
382000,preparaciones anticongelantes y liquidos preparados para descongelar
382100,medios de cultivo preparados para el desarrollo de microorganismos.
382200,"reactivos compuestos de diagnosticos o laboratorio, excepto los de las"
382311,acido estearico
382312,acido oleico
382313,acidos grasos del tall oil
382319,los demas acidos grasos monocarboxilicos industriales
382370,alcoholes grasos industriales.
382410,preparaciones aglutinantes para moldes o nucleos de fundicion
382420,"acidos naftenicos, sus sales insolubles en agua y sus esteres"
382430,carburos metalicos sin aglomerar mezclados entre si o con aglitinantes
382440,"aditivos preparados para cementos, morteros u hormigones."
382450,morteros y hormigones no refractarios
382460,"sorbitol, excepto el de la subpartidas 290544"
382471,mezclas que contengan derivados perhalogenados de hidrocarburos acicli
382472,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382473,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382474,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382475,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382476,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382477,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382478,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382479,las demas mezclas que contengan derivados perhalogenados de hidrocarb
382481,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382482,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382483,Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y prepar
382490,las demas preparaciones aglutinantes para moldes
382510,Desechos y desperdicios municipales
382520,Lodos de depuración
382530,Desechos clínicos
382541,"Desechos de disolventes orgánicos, halogenados"
382549,"Desechos de disolventes orgánicos, no halogenados"
382550,"Desechos de soluciones decapantes, fluidos hidráulicos, líquidos para frenos y líquidos an"
382561,"Desechos de la industria química o de las industrias conexas, que contengan principalmente"
382569,Desechos de la industria química o de las industrias conexas (exc. desechos de soluciones
382590,"Productos residuales de la industria química o de las industrias conexas, n.c.o.p. (exc. d"
390110,"polietileno de densidad inferior a 0,94"
390120,"polietileno de densidad igual o superior a 0,94."
390130,copolimeros de etileno y acetato de vinilo.
390190,los demas polimeros de etileno en formas primarias.
390210,"polipropileno, en formas primarias."
390220,"poliisobutileno, en formas primarias."
390230,"copolimeros de propileno, en formas primarias."
390290,"los demas polimeros de propileno o de otras olefinas, en formas primar"
390311,poliestireno en forma expandible
390319,"los demas poliestirenos en formas primarias, excepto expandible."
390320,"copolimeros de estireno-acrilonitrilo (san), en forma primarias."
390330,"copolimeros de acrilonitrilo-butadieno-estireno (abs), en formas prima"
390390,"los demas polimeros de estireno, en formas primarias"
390410,policloruro de vinilo sin mezclar con otras sustancias.
390421,los demas policloruros de vinilo sin plastificar
390422,los demas policloruros de vinilo plastificados
390430,copolimeros de cloruro de vinilo y acetato de vinilo.
390440,los demas copolimeros de cloruro de vinilo.
390450,polimeros de cloruro de vinilideno.
390461,politetrafluoroetileno.
390469,los demas polimeros fluorados de cloruro de vinilo o de otras olefinas
390490,los demas polimeros de cloruro de vinilo o de otras olefinas halogenad
390512,poliacetato de vinilo en dispersion acuosa.
390519,"los demas polimeros de acetato de vinilo, en forma primarias."
390521,copolimeros de acetato de vinilo en dispersion acuosa.
390529,los demas copolimeros de acetato de vinilo.
390530,"alcohol polivinilico, incluso con grupos acetato sin hidrolizar."
390591,los demas copolimeros
390599,los demas polimeros de acetato de vinilo o de otros esteres vinilicos
390610,"polimetacrilato de metilo, en formas primarias."
390690,dispersiones acril-estirenicas
390710,"poliacetales, en formas primarias."
390720,los demas poliesteres en formas primarias
390730,resinas epoxi en formas primarias.
390740,policarbonatos en formas primarias.
390750,"resinas alcidicas, en formas primarias."
390760,politereftalato de etileno
390770,"Poliacetales, los demás poliéteres y resinas epoxi, en formas primarias; policarbonatos, r"
390791,resinas de poliester insaturada
390799,"los demas poliesteres, excepto no saturados."
390810,"poliamidas -6, -11, -12, -6,6, -6,9, -6,10 o -6,12, en formas primaria"
390890,las demas poliamidas en formas primarias.
390910,resinas ureicas; resinas de tiourea
390920,resinas melaminicas en formas primarias
390930,"las demas resinas aminicas, en forma primaria"
390940,resinas fenolica (adhesivos)
390950,poliuretanos en formas primarias.
391000,siliconas en formas primarias
391110,"resina de petroleo, resinas de cumarona, resinas de indeno, resinas de"
391190,"polisulfuros, polisulfonas y demas productos previstos en nota 3 del c"
391211,"acetatos de celulosa, sin plastificar, en formas primarias."
391212,"acetatos de celulosa plastificados, en formas primarias."
391220,nitrato de celulosa (incluidos los colodiones)
391231,"carboximetilcelulosa y sus sales, en formas primarias"
391239,"los demas eteres de celulosa, en formas primarias."
391290,los demas derivados quimicos de la celulosa en formas primarias.
391310,"acido alginico, sus sales y sus ésteres"
391390,"los demas polimeros naturales y polimeros naturales modificados,formas"
391400,intercambiadores de iones a base de polimeros de las partidas 3901 a 3
391510,"desechos, recortes y desperdicios de polimeros de etileno."
391520,"desechos, recortes y desperdicios de polimeros de estireno."
391530,"desechos, recortes y desperdicios, de polimeros de cloruro de vinilo."
391590,"desechos, recortes y desperdicios, de los demas plasticos."
391610,"monofilamentos dimension corte transversal exceda 1mm., de polimeros d"
391620,monofilamentos de polimeros de cloruro de vinilo cuya dimension de cor
391690,monofilamentos de los demas plasticos cuya dimension de corte transver
391710,tripas artificiales de proteinas endurecidas o de plasticos celulosico
391721,tubos rigidos de polimeros de etileno
391722,tubos rigidos de polimeros de propileno
391723,tubos rigidos de polimeros de cloruro de vinilo
391729,"tubos rigidos, de los demas plasticos"
391731,"tubos flexibles de plasticos, para una presion igual o superior a 27,6"
391732,"los demas tubos flexibles de plastico, sin reforzar ni combinar con ot"
391733,"los demas tubos flexibles de plastico, sin reforzar ni combinar con ot"
391739,los demas tubos plasticos
391740,"accesorios de tuberia, de plastico"
391810,revestimientos vinilicos para pisos de polimeros de cloruro de vinilo
391890,"revestimientos de los demas plasticos para suelos, paredes o techos"
391910,"placas, hojas, bandas, cintas en rollos de anchura inferior o igual a"
391990,"las demas placas, hojas, bandas, cintas, peliculas, autoadhesivas, de"
392010,"placas, hojas, peliculas, bandas y laminas de polimeros de etileno, no"
392020,"placas, hojas, peliculas, bandas y laminas de polimeros de propileno,"
392030,"placas, hojas, peliculas, bandas y laminas de polimeros de estireno, n"
392041,"placas, hojas, peliculas, bandas y laminas de polimeros de cloruro de"
392042,"placas, hojas, peliculas, bandas y laminas de polimeros de cloruro de"
392043,"Placas, láminas, hojas y tiras, de polímeros de cloruro de vinilo, con un contenido de pla"
392049,"Placas, láminas, hojas y tiras, de polímeros de cloruro de vinilo, con un contenido de pla"
392051,"las demas placas,hojas,bandas,laminas, de polimetacrilato de metilo."
392059,"las demas placas, hojas, peliculas, bandas y laminas, de plastico no c"
392061,"las demas placas,hojas,bandas,laminas, de policarbonatos."
392062,"las demas placas,hojas,bandas,laminas de politereftalato de etileno (p"
392063,"las demas placas,hojas,bandas,laminas de poliesteres no saturados"
392069,"las demas placas, hojas, bandas, laminas de los demas poliesteres"
392071,"las demas placas, hojas, bandas, laminas de celulosa regenerada"
392072,"las demas placas,hojas,bandas,laminas,de fibra vulcanizada."
392073,"las demas placas,hojas,bandas,laminas,de acetato de celulosa."
392079,"las demas placas,hojas,bandas,laminas,de los demas derivados de la cel"
392091,"las demas placas,hojas,peliculas,bandas y lamina, de polivinilbutiral."
392092,"las demas placas,hojas,peliculas,bandas y lamina, de poliamidas."
392093,"las demas placas,hojas,peliculas,bandas y laminas, de resinas aminicas"
392094,"las demas placas,hojas,peliculas,bandas y laminas,de resina fenolicas."
392099,"las demas placas, hojas, peliculas, bandas y laminas de los demas plas"
392111,productos celulares de estireno
392112,productos celulares de cloruro de vinilo
392113,"productos ceculares, de poliuretanos."
392114,productos celulares de celulosa regenerada
392119,productos celulares de los demas plasticos
392190,"las demas placas, hojas, bandas y laminas de plastico celular, sin ref"
392210,"bañeras, duchas y lavabos de plastico"
392220,asientos y tapas de w.c.
392290,"bides, inodoros y sus asientos y tapas, cisternas y articulos sanitari"
392310,"cajas, jaulas y articulos similares de plastico"
392321,"sacos, bolsas y cucuruchos de polimeros de etileno"
392329,"sacos, bolsas y cucuruchos de los demas plasticos"
392330,"bombonas, botellas, frascos y articulos similares."
392340,"bobinas,carretes, canillas de lanzadera y soportes similares, de plast"
392350,"tapones, tapas, capsulas y demas dispositivos de cierre."
392390,los demas articulos para el transporte o envasado de plastico.
392410,vajilla y demas articulos para el servicio de mesa
392490,"los demas articulos de uso domestico y de higiene, de plastico"
392510,"depositos, cisternas, cubas y recipientes analogos de capac.sup.a 300l"
392520,"puertas, ventanas y sus marcos, bastidores y umbrales, de plasticos."
392530,"contraventanas, persianas y articulos similares, y sus partes, de plas"
392590,"los demas articulos para la construccion, de plasticos."
392610,"articulos de oficina y articulos escolares, de plastico"
392620,prendas y complementos de vestir (incluidos los guantes).
392630,"guarniciones de plasticos, para muebles, carrocerias o similares"
392640,estatuillas y demas objetos de adorno de plastico.
392690,"las demas manufacturas, de plastico."
400110,"latex de caucho natural, incluso prevulcanizado."
400121,hojas ahumadas de caucho natural.
400122,cauchos tecnicamente especificados (tsnr).
400129,los demas cauchos naturales en otras formas.
400130,"balata, gutapercha, guayule, chicle y gomas naturales analogas."
400211,latex de caucho estireno-butadieno (sbr) y estieno-butadieno carboxila
400219,caucho estireno-butadieno (sbr); ca
400220,caucho butadieno (br)
400231,caucho isobuteno-isopreno (butilo)
400239,caucho isobuteno-isopreno halogenado
400241,latex de caucho cloropreno (clorobutadieno) (cr).
400249,"caucho cloropreno (clorobutadieno), excepto latex"
400251,latex de caucho acrilonitrilo-butadieno (nbr).
400259,caucho acrilonitrilo-butadieno (nbr).
400260,caucho isopreno (ir).
400270,caucho etileno-propileno-dieno no conjugado
400280,mezclas de los productos de la partida 4001 con los de esta partida.
400291,"los demas latex de caucho, sintetico o facticio."
400299,los demas cauchos sinteticos y facticio.
400300,"caucho regenerado en formas primarias o en placas, hojas o bandas."
400400,"desechos, desperdicios y recortes, de caucho sin endurecer, incluso en"
400510,caucho con negro de humo o silice.
400520,"disoluciones; dispersiones, excepto las de subpartida 4005.10."
400591,"placas, hojas y bandas, de caucho mezclado, sin vulcanizar."
400599,"los demas cauchos mezclados, sin vulcanizar"
400610,"perfiles para recauchutar, de caucho sin vulcanizar."
400690,los demas articulos de caucho sin vulcanizar
400700,"hilos y cuerdas, de caucho vulcanizado."
400811,"placas, hojas y bandas de caucho celular"
400819,"las demas placas, hojas, bandas,varillas y perfiles de caucho celular"
400821,"placas, hojas y bandas, de caucho no celular"
400829,"las demas placas, hojas y bandas de caucho no celular."
400910,"tubos de caucho vulcanizado, sin endurecer, reforzar o combinar con ot"
400911,"Tubos de caucho vulcanizado sin endurecer, sin reforzar ni combinar de otro modo con otras"
400912,"Tubos de caucho vulcanizado sin endurecer, sin reforzar ni combinar de otro modo con otras"
400920,"tubos de caucho vulcanizado, sin endurecer, reforzado o combinado sola"
400921,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo solamente"
400922,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo solamente"
400930,"tubos de caucho vulcanizado, sin endurecer, reforzados o combinados de"
400931,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo solamente"
400932,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo solamente"
400940,"tubos de caucho vulcanizado, sin endurecer, reforzados o combinados de"
400941,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo con otras"
400942,"Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo con otras"
400950,"tubos de caucho vulcanizado sin endurecer, reforzados o combinados de"
401011,correas transportadoras reforzadas solamente con metal.
401012,correas transportadoras reforzadas solamente con materia textil.
401013,correas transportadoras reforzadas solamente con plastico.
401019,las demas correas transportadoras
401021,"correas de transmision sinfin de circunferencia superior a 60 cm, pero"
401022,"correas de transmision sinfin de circunferencia superior a 180 cm, per"
401023,"correas de transmision sinfin de circunferencia superior a 60 cm, pero"
401024,"correas de transmision sinfin de circunferencia superior a 150 cm, per"
401029,"las demas correas transportadoras o de transmision , de caucho vulcani"
401031,"Correas de transmisión, sin fin, estriadas, de sección trapezoidal, de circunferencia exte"
401032,"Correas de transmisión, sin fin, de sección trapezoidal, de circunferencia exterior > 60 c"
401033,"Correas de transmisión, sin fin, estriadas, de sección trapezoidal, de circunferencia exte"
401034,"Correas de transmisión, sin fin, de sección trapezoidal, de circunferencia exterior > 180"
401035,"Correas de transmisión, sin fin, con muescas sincrónicas, de circunferencia exterior > 60"
401036,"Correas de transmisión, sin fin, con muescas sincrónicas, de circunferencia exterior > 150"
401039,"Correas de transmisión, de caucho vulcanizado (exc. correas de transmisión, sin fin, estri"
401110,neumaticos nuevos de caucho del tipo utilizado en automoviles de turis
401120,neumaticos nuevos de caucho del tipo utilizado en autobuses y camiones
401130,"neumaticos nuevos de caucho, del tipo utilizados en aviones."
401140,neumaticos nuevos de caucho del tipo utilizados en motocicletas.
401150,neumaticos nuevos de caucho del tipo utilizado en bicicletas
401161,"Neumáticos llantas neumáticas nuevos de caucho, con altos relieves en forma de taco, ángul"
401162,"Neumáticos llantas neumáticas nuevos de caucho, con altos relieves en forma de taco, ángul"
401163,"Neumáticos llantas neumáticas nuevos de caucho, con altos relieves en forma de taco, ángul"
401169,"Neumáticos llantas neumáticas nuevos de caucho, con altos relieves en forma de taco, ángul"
401191,"neumaticos nuevos de caucho con dibujo en alto relieve, de taco, en an"
401192,"Neumáticos llantas neumáticas nuevos de caucho, de los tipos utilizados en vehículos y máq"
401193,"Neumáticos llantas neumáticas nuevos de caucho, de los tipos utilizados en vehículos y máq"
401194,"Neumáticos llantas neumáticas nuevos de caucho, de los tipos utilizados en vehículos y máq"
401199,los demas neumaticos nuevos de caucho
401210,neumaticos recauchutados.
401211,"Neumáticos llantas neumáticas recauchutados, de caucho, de los tipos utilizados en automóv"
401212,"Neumáticos llantas neumáticas recauchutados, de caucho, de los tipos utilizados en autobus"
401213,"Neumáticos llantas neumáticas recauchutados, de caucho, de los tipos utilizados en aeronav"
401219,"Neumáticos llantas neumáticas recauchutados, de caucho (exc. de los tipos utilizados en au"
401220,"neumaticos de caucho, usados."
401290,"bandajes, bandas de rodadura intercambiables para neumaticos y protect"
401310,camaras de caucho del tipo utilizado en automoviles de turismo (inclui
401320,camaras de caucho del tipo utilizado en bicicletas
401390,las demas camaras de caucho .
401410,"preservativos, de caucho vulcanizado sin endurecer."
401490,los demas articulos de higiene o de farmacia de caucho vulcanizado sin
401511,guantes para cirugia
401519,los demas guantes
401590,"las demas prendas, guantes y demas complementos de vestir de caucho v"
401610,las demas manufacturas de caucho celular
401691,revestimiento para el suelo y alfombras de caucho vulcanizado sin endu
401692,gomas de borrar de caucho vulcanizado sin endurecer.
401693,juntas de caucho vulcanizado sin endurecer
401694,"defensas, incluso inflables, para el atraque de los barcos, de caucho"
401695,los demas articulos inflables.
401699,las demas manufacturas de caucho vucanizado sin endurecer.
401700,"manufacturas de caucho endurecido (ebonita) en cualquier forma, inclui"
410110,pieles enteras de bovino con un peso unitario inferior o igual a 8 kg.
410120,"Cueros y pieles, en bruto, enteros, de bovino, incl. el búfalo, o de equino, incl. depilad"
410121,"los demas cueros y pieles de bovino, frescos o salados verdes, enteros"
410122,"crupones y medio crupones, de bovino, frescos o salados verdes."
410129,"los demas cueros y pieles de bovino, frescos o salados verdes."
410130,"los demas cueros y pieles, de bovino, conservados de otro forma."
410140,cueros y pieles de equino.
410150,"Cueros y pieles, en bruto, enteros, de bovino, incl. el búfalo, o de equino, incl. depilad"
410190,"Crupones, medios crupones, faldas y cueros y pieles divididos, en bruto, de bovino, incl."
410210,"pieles en bruto de ovino con lana, frescas, saladas o secas"
410221,"pieles en bruto de ovino sin lana (depiladas), piqueladas"
410229,"las demas pieles en bruto de ovino, sin lana (depiladas), sin piquelar"
410310,"cueros y pieles, en bruto, de caprino, incluso depilados o divididos."
410320,"cueros y pieles, en bruto, de reptil."
410330,"Cueros y pieles, en bruto, de porcino, frescos o salados, secos, encalados, piquelados o c"
410390,pieles y cueros de animales silvestres
410410,"cueros y pieles enteros, de bovino, con una superficie por unidad infe"
410411,"Plena flor sin dividir o divididos con la flor, en estado húmedo, incl. el wet blue, de cu"
410419,"Cueros y pieles, de bovino, incl. el búfalo, o de equino, en estado húmedo incl. el wet bl"
410421,"pieles y cueros de bovinos, con precurtido vegetal"
410422,"cueros y pieles, de bovino, precurtidos de otra forma."
410429,"los demas cueros y pieles, de bovino y de equino, curtido o recurtidos"
410431,"los demas cueros y pieles de bovino y equino con la flor, incluso divi"
410439,"los demas cueros y pieles de bovino y equino, apergaminados o preparad"
410441,"Plena flor sin dividir o divididos con la flor, en estado seco crust, de cueros y pieles d"
410449,"Cueros y pieles, de bovino, incl. el búfalo, o de equino, en estado seco crust, depilados,"
410510,"Cueros y pieles, de ovino, en estado húmedo, incl. el wet blue, curtidos, depilados, incl."
410511,"pieles depiladas de ovino, con precurtido vegetal."
410512,"pieles depiladas de ovino, precurtidas de otra forma."
410519,"pieles depiladas de ovino, curtidas o recurtidas, sin preparacion post"
410520,"pieles depiladas de ovino, apergaminadas o preparadas despues del curt"
410530,"Cueros y pieles, de ovino, en estado seco crust, depilados, incl. divididos (exc. preparad"
410611,"pieles depiladas de caprino, con precurtido vegetal."
410612,"pieles depiladas de caprino, precurtidas de otra forma."
410619,las demas pieles depiladas de caprino curtidas o recurtidas sin prepar
410620,"pieles depiladas de caprino, apergaminadas o preparadas despues del cu"
410621,"Cueros y pieles de caprino, en estado húmedo, incl. el wet blue, curtidas, depiladas, incl"
410622,"Cueros y pieles de caprino, en estado seco crust, depiladas, incl. divididas (exc. prepara"
410631,"Cueros y pieles, de porcino, en estado húmedo, incl. el wet blue, curtidos, depilados, inc"
410632,"Cueros y pieles, de porcino, en estado seco crust, depilados, incl. divididos (exc. prepar"
410640,"Cueros y pieles de reptil, curtidos o crust, incl. divididos (exc. preparados de otra mane"
410691,"Cueros y pieles, depilados, de antílopes, corzos, gamuzas, renos, alces, elefantes y demás"
410692,"Cueros y pieles, depilados, de antílopes, corzos, gamuzas, renos, alces, elefantes y demás"
410710,"pieles depiladas de porcino, preparadas"
410711,"Plena flor sin dividir, de cueros preparados después del curtido o del secado y cueros y p"
410712,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, dividi"
410719,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, entero"
410721,"pieles depiladas de reptil, con precurtido vegetal."
410729,"las demas pieles depiladas de reptil, preparadas, excepto precurtido v"
410790,"cueros y pieles depilados de los demas animales sin pelo, preparados"
410791,"Plena flor sin dividir, de trozos, hojas o placas de cueros preparados después del curtido"
410792,"Trozos, hojas o placas de cueros preparados después del curtido o del secado y cueros y pi"
410799,"Trozos, hojas o placas de cueros preparados después del curtido o del secado y cueros y pi"
410800,cueros y pieles agamuzados (incluidos el combinado al aceite).
410900,"cueros y pieles barnizados o revestidos; cueros y pieles, metalizados."
411000,"recortes y demas desperdicios de cuero o de pieles, preparados, o de c"
411100,"cuero artificial o regenerado a base de cuero o de fibras de cuero, en"
411200,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de ovi"
411310,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de cap"
411320,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de por"
411330,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de rep"
411390,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de ant"
411410,"Cueros y pieles agamuzados, incl. el agamuzado combinado al aceite (exc. cueros y pieles p"
411420,Cueros y pieles charolados y sus imitaciones de cueros o pieles chapados; cueros y pieles
411510,"Cuero regenerado a base de cuero o de fibras de cuero, en placas, hojas o tiras, incl. enr"
411520,"Recortes y demás desperdicios de cuero o piel, preparados, o de cuero regenerado, inutiliz"
420100,articulos de talabarteria y guarnicioneria para caballos (incluidos lo
420211,"baules,maletas, maletines, carteras de mano, con la superficie exterio"
420212,"baules, maletas, carteras de mano y contientes similares con la superf"
420219,"baules, maletines, portadocumentos, portafolios, con superficie exteri"
420221,"bolsos de mano, con la superficie exterior de cuero natural, de cuero"
420222,"bolsos de mano, con la superficie exterior de hojas de plasticos de ma"
420229,"bolsos de mano, con la superficie exterior de fibra vulcanizada"
420231,articulos de bolsillo o de bolso de mano con la superficie exterior de
420232,articulos de bolsillo o de bolso de mano con la superficie exterior de
420239,"articulos de bolsillo o de bolso de mano, superficie ext. fibra vulcan"
420291,"los demas continentes con la superficie de cuero natural,artificial o"
420292,los demas continentes con superficie exterior de hojas de plasticos o
420299,"los demas continentes, de fibra vulcanizada o de carton."
420310,prendas de vestir de cuero natural o regenerado
420321,"guantes y manoplas, disenados especialmente para practica del deporte,"
420329,los demas guantes y manoplas.
420330,"cintos, cinturones y bandoleras."
420340,"los demas complementos de vestir, de cuero natural, artificial o regen"
420400,articulos para usos tecnicos de cuero natural o de cuero artificial o
420500,las demas manufacturas de cuero natural o de cuero artificial o regene
420600,"Manufacturas de tripa, vejigas o tendones"
420610,cuerdas de tripa
420690,"las demas manufacturas de tripa, de vejigas o de tendones."
