index,code,density,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id,selection_criteria,environmental_service
0,460120,0.0696398662498684,0.0,0.0124228869468187,0.2573336612154828,5.836284526390938,-1.9831005632243857,-0.2423649218563416,"Esterillas, esteras y canizos, de materias vegetales.",0.0,"Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados",460120,,"Se utiliza para la erosión del suelo como cobertura del suelo, biodegradable a partir de residuos"
1,730820,0.0979593163561978,0.12357735358364301,0.4483825320428237,0.7689132791906682,1.4755179758544013,-0.6318421859924139,-0.2680551015553668,Torres y castilletes de fundicion de hierro o acero,1450602.2,Metales comunes y sus manufacturas,730820,,Se utiliza para elevar y soportar una turbina eólica para la generación de energías renovables
2,732111,0.0834924603138979,0.0094066485985244,0.4675803392079343,0.2799894142086742,3.0088159336994025,-0.2583664379077525,-0.0315194609498938,Aparatos de coccion y calientaplato,169610.4,Metales comunes y sus manufacturas,732111,,"Utiliza energía solar térmica para cocinar, por lo que no produce contaminación del aire. El uso de estufas solares está reemplazando la calefacción con leña u otras fuentes de energía no renovables (por ejemplo, petróleo, gas) y permite la conservación de la leña (especialmente importante en áreas áridas) y es adecuado para uso fuera de la red"
3,732490,0.0873322156588129,0.026808001071246,0.0495095492203657,1.4984178463684656,3.4634697697255663,0.34449352993865995,0.0246472860746913,Lavaplatos de fierro esmaltado,135885.6,Metales comunes y sus manufacturas,732490,,Manejo de aguas residuales y potabilización del agua
4,840290,0.0757824614179064,0.1059920850677115,0.12202683944589199,0.5560819259324,2.1731227403268605,0.3606946940857118,0.0418418822698309,Partes de calderas de vapor.,1186136.2,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840290,,Partes para calderas
5,840410,0.0667616248539677,0.0043886895039739,0.34804547991071194,0.5883641863534737,2.5092677605622358,0.4304218618076769,0.1780801679902865,Aparatos auxiliares para las calderas de partidas 84.02 u 84.03.,13984.4,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840410,,Manejo de Residuos Sólidos y Sistemas de Reciclaje
6,840510,0.1030937102333809,0.1353178045626464,0.3538432409386819,0.8951863791221922,0.5372982622737741,0.062926469571611,-0.0270120799974917,"Generadores de gas pobre (gas de aire) o de gas de agua, incluso con l",274591.2,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840510,,Control de la contaminación del aire. Manejo de aguas residuales y potabilización del agua
7,840619,0.0802408304816497,4.6372928621215e-05,2.1194394873879494,2.1762531975444634,0.9269070953241522,1.2776426827035343,0.3366154473865522,Steam and vapour turbines nes,276.0,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840619,,Plantas de energías renovables
8,840999,0.0979138633347729,0.6786288035352724,2.1934549419254465,2.8890755227029272,0.4591799131643743,0.8848354047602819,0.1040529908844977,Partes identificables como destinadas a los motores de embol,78199300.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840999,,Los silenciadores industriales se utilizan para reducir el ruido de motores
9,841011,0.085102447165478,0.3952430639274328,0.3111278914057062,1.3387439232572806,0.9295199244148938,0.2067625130597233,0.1391087851242656,"Turbinas y ruedas hidraulicas, de potencia inferior o igual a 1000 kw.",152232.4,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841011,,La generación de energía hidroeléctrica no produce emisiones de gases de efecto invernadero
10,841012,0.0802997128056811,0.0263127178444154,0.7276927056259302,1.835632163729923,1.1999725806665544,0.4844301903876618,0.1302623740259298,"Turbinas y ruedas hidraulicas de potencia superior a 1000 kw, pero inf",10358.4,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841012,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
11,841090,0.0898176846968764,0.9419107948783141,2.024643707051514,0.8195210676783431,1.8026494500864592,0.1649807699520661,-0.0177092871904258,"Partes, incluidos los reguladores de turbinas y ruedas hidraulicas.",3727080.0,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841090,VCR2011|ICP,La generación de energía hidroeléctrica no produce emisiones de gases de efecto invernadero.
12,841181,0.0975412648702245,0.0393359952164703,0.4044719088596346,0.4909543383609092,0.0573023569936054,1.0898693722880541,0.2309023394710413,"Turbinas de gas, de potencia inferior o igual a 5.000 kw.",322320.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841181,proximidad|complejidad,"Turbinas de gas para la generación de energía eléctrica a partir de gas de vertedero recuperado, gas de ventilación de minas de carbón o biogás (sistema de energía limpia). Tenga en cuenta que estas turbinas ""no superan los 5.000 kW""."
13,841182,0.1003779606440395,0.2128979669466749,0.0861419684655768,0.9992306480167328,0.1166665305619468,0.0546800787836816,0.2671702927628058,Turbinas de gas de potencia superior a 5.000 kw.,5769586.4,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841182,proximidad|complejidad,"Turbinas de gas para la generación de energía eléctrica a partir de gas de vertedero recuperado, gas de ventilación de minas de carbón o biogás (sistema de energía limpia)."
14,841861,0.0831057156165994,0.0026755890275087,0.0185067594296111,1.4804161538797935,0.6366891132062887,1.1206672392069037,0.2281943888350889,Grupos frigorificos de compresion en que condensador constituido por u,20935.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841861,,"Dichos sistemas transfieren (""bombean"") el calor disponible en masas de tierra y agua para calentar o enfriar edificios."
