,code,density,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id
0,460120,0.0696398662498684,0.0,0.0124228869468187,0.2573336612154828,5.836284526390938,-1.9831005632243857,-0.2423649218563416,"Mats, matting and screens, vegetable plaiting materia",0.0,"Paper, Pulp of Wood or of Fibrous Material",460120
1,730820,0.0979593163561978,0.123577353583643,0.4483825320428237,0.7689132791906682,1.4755179758544013,-0.631842185992414,-0.2680551015553668,"Towers and lattice masts, iron or steel",1450602.2,Base Metals,730820
2,732111,0.0834924603138979,0.0094066485985244,0.4675803392079343,0.2799894142086742,3.0088159336994025,-0.2583664379077525,-0.0315194609498938,"Cooking appliances for gas fuel, etc, iron or steel",169610.4,Base Metals,732111
3,732490,0.0873322156588129,0.026808001071246,0.0495095492203657,1.498417846368466,3.463469769725566,0.34449352993866,0.0246472860746913,"Sanitary ware and parts thereof, iron or steel, nes",135885.6,Base Metals,732490
4,840290,0.0757824614179064,0.1059920850677115,0.122026839445892,0.5560819259324,2.1731227403268605,0.3606946940857118,0.0418418822698309,Parts of steam or vapour generating boilers nes,1186136.2,"Machinery, Electrical",840290
5,840410,0.0667616248539677,0.0043886895039739,0.348045479910712,0.5883641863534737,2.509267760562236,0.4304218618076769,0.1780801679902865,Auxiliary plant for steam/vapour generating boilers,13984.4,"Machinery, Electrical",840410
6,840510,0.1030937102333809,0.1353178045626464,0.3538432409386819,0.8951863791221922,0.5372982622737741,0.062926469571611,-0.0270120799974917,"Producer, water and acetylene gas generators",274591.2,"Machinery, Electrical",840510
7,840619,0.0802408304816497,4.6372928621215e-05,2.1194394873879494,2.176253197544463,0.9269070953241522,1.277642682703534,0.3366154473865522,Steam and vapour turbines nes,276.0,"Machinery, Electrical",840619
8,840999,0.0979138633347729,0.6786288035352724,2.193454941925447,2.8890755227029272,0.4591799131643743,0.8848354047602819,0.1040529908844977,Parts for diesel and semi-diesel engines,78199300.6,"Machinery, Electrical",840999
9,841011,0.085102447165478,0.3952430639274328,0.3111278914057062,1.3387439232572806,0.9295199244148938,0.2067625130597233,0.1391087851242656,"Hydraulic turbines, water wheels, power < 1000 kW",152232.4,"Machinery, Electrical",841011
10,841012,0.0802997128056811,0.0263127178444154,0.7276927056259302,1.835632163729923,1.1999725806665544,0.4844301903876618,0.1302623740259298,"Hydraulic turbines, water wheels, power 1000-10000 kW",10358.4,"Machinery, Electrical",841012
11,841090,0.0898176846968764,0.941910794878314,2.024643707051514,0.8195210676783431,1.8026494500864592,0.1649807699520661,-0.0177092871904258,Parts of hydraulic turbines and water wheels,3727080.0,"Machinery, Electrical",841090
12,841181,0.0975412648702245,0.0393359952164703,0.4044719088596346,0.4909543383609092,0.0573023569936054,1.089869372288054,0.2309023394710413,Gas turbine engines nes of a power < 5000 kW,322320.6,"Machinery, Electrical",841181
13,841182,0.1003779606440395,0.2128979669466749,0.0861419684655768,0.9992306480167328,0.1166665305619468,0.0546800787836816,0.2671702927628058,Gas turbine engines nes of a power > 5000 kW,5769586.4,"Machinery, Electrical",841182
14,841861,0.0831057156165994,0.0026755890275087,0.0185067594296111,1.4804161538797935,0.6366891132062887,1.1206672392069037,0.2281943888350889,Compression refrigeration equipment with heat exchang,20935.8,"Machinery, Electrical",841861
15,841919,0.0972874297851097,0.2458220971892711,0.0356214802004254,1.2836515950232887,0.650602991070226,0.4480274245296803,0.0829752815322746,"Instantaneous/storage water heaters, not electric nes",1554621.6,"Machinery, Electrical",841919
16,841950,0.0885673689563708,0.1442907317060306,0.2552006133632897,1.4895670069005789,0.7042946751056222,1.4804453988157316,0.2870277297990991,"Heat exchange units, non-domestic, non-electric",5102514.4,"Machinery, Electrical",841950
17,847989,0.0601108758908697,0.106698710357784,0.2344614087236424,2.1063642703427528,0.5478850755114226,2.2411236341942686,0.481163047257979,Machines and mechanical appliances nes,19223043.0,"Machinery, Electrical",847989
18,850230,0.0861236323976883,0.0412622167007781,0.6239572597581955,2.4969123609914243,0.4342930515543036,1.2045866471419833,0.2235409140864016,"Electric generating sets, nes",1555205.0,Transportation,850230
19,850410,0.0723941890376477,0.1364041029288783,0.0934474417046703,1.3794910173910686,2.0768778615218464,0.5831780657080049,0.144716518150188,Ballasts for discharge lamps or tubes,1067498.8,Transportation,850410
20,853710,0.0875717685746198,0.0635439062680636,0.155177441010861,2.2791280373682,0.8529635067514614,0.5382960406533014,0.0882448232095616,"Electrical control and distribution boards, < 1kV",11747220.2,Transportation,853710
21,854140,0.043215613024072,0.0019813583270554,0.0035249384546991,0.7179919627021579,2.878817556281762,0.8285991178029719,0.1452537560097194,Photosensitive/photovoltaic/LED semiconductor devices,328072.6,Transportation,854140
22,900190,0.0559537590545143,0.000749798342227,0.0037162825481187,0.8330956861547485,1.7550929188105195,1.4785379525036488,0.309697368103676,"Prisms, mirrors and optical elements nes, unmounted",19721.4,Precision Instruments,900190
23,900290,0.0604922715803463,0.043014874070116,0.0135400940263446,2.514002947318128,1.0857286733140592,0.904834743257893,0.2424903528967462,"Mounted lenses, prisms, mirrors, optical elements nes",326750.6,Precision Instruments,900290
24,902730,0.0727557782783435,0.0439654849723842,0.0213128246134769,2.356459978924504,0.2624986419408978,1.9819020122802544,0.4405971481491695,"Spectrometers, spectrophotometers, etc using light",573343.0,Precision Instruments,902730
25,903210,0.0782073594262148,0.2766106695414705,0.1535211712923139,1.547831745451104,1.3506398866936369,0.9373441678642336,0.1739333740938949,Thermostats,3623317.4,Precision Instruments,903210
