,source,target,weight
0,460120,530599,0.46153846153846156
1,460120,380210,0.35714285714285715
2,730820,853720,0.5
3,732111,700991,0.5
4,732490,870892,0.6666666666666666
5,732490,841790,0.6190476190476191
6,732490,846599,0.5555555555555556
7,732490,871200,0.5555555555555556
8,732490,700991,0.5
9,732490,450490,0.3888888888888889
10,732490,841780,0.6111111111111112
11,732490,850300,0.6
12,732490,848180,0.6111111111111112
13,732490,700800,0.5909090909090909
14,732490,850980,0.6111111111111112
15,732490,732183,0.5789473684210527
16,840290,840219,0.47619047619047616
17,840290,840410,0.4666666666666667
18,840510,903300,0.5666666666666667
19,840619,860730,0.5454545454545454
20,840999,850490,0.6296296296296297
21,840999,842199,0.6
22,840999,850164,0.6
23,840999,850300,0.6
24,840999,732690,0.6153846153846154
25,840999,392113,0.6
26,841011,841012,0.5625
27,841012,841090,0.5882352941176471
28,841090,841790,0.6190476190476191
29,841090,841013,0.5882352941176471
30,841090,850423,0.5555555555555556
31,841090,730300,0.4117647058823529
32,841181,841182,0.5384615384615384
33,841181,903010,0.5
34,841861,853090,0.625
35,841861,848340,0.6
36,841861,841950,0.5789473684210527
37,841861,842199,0.5789473684210527
38,841919,902820,0.6111111111111112
39,841919,902890,0.5909090909090909
40,841919,761100,0.5714285714285714
41,841950,842199,0.6842105263157895
42,841950,846694,0.6666666666666666
43,841950,870892,0.631578947368421
44,841950,903039,0.631578947368421
45,841950,842121,0.6190476190476191
46,841950,848110,0.6
47,841950,860729,0.5909090909090909
48,841950,842490,0.5789473684210527
49,841950,903210,0.5789473684210527
50,841950,841990,0.631578947368421
51,841950,847982,0.5789473684210527
52,841950,841370,0.5789473684210527
53,841950,841480,0.5789473684210527
54,841950,841490,0.5789473684210527
55,841950,842191,0.5789473684210527
56,841950,848140,0.5789473684210527
57,841950,392690,0.5833333333333334
58,841950,732690,0.5769230769230769
59,841950,848340,0.5789473684210527
60,841950,850590,0.5789473684210527
61,841950,850980,0.5789473684210527
62,841950,860799,0.631578947368421
63,847989,851410,0.6666666666666666
64,847989,902790,0.6363636363636364
65,847989,847990,0.6153846153846154
66,847989,902730,0.6153846153846154
67,850230,902680,0.47058823529411764
68,850230,841290,0.46153846153846156
69,850410,903220,0.5384615384615384
70,850410,940510,0.5384615384615384
71,850410,940540,0.46153846153846156
72,853710,850300,0.6
73,853710,840490,0.5
74,853710,840991,0.6
75,853710,903039,0.6
76,854140,901390,0.5555555555555556
77,854140,903090,0.5454545454545454
78,854140,901380,0.5
79,854140,871494,0.5
80,854140,841911,0.375
81,854140,871411,0.36363636363636365
82,900190,900290,0.5714285714285714
83,900190,285100,0.5
84,900290,854390,0.6428571428571429
85,900290,901530,0.5714285714285714
86,900290,380210,0.42857142857142855
87,902730,902750,0.7692307692307693
88,902730,902790,0.7692307692307693
89,902730,902620,0.6153846153846154
90,902730,847990,0.6153846153846154
91,902730,902680,0.5882352941176471
92,902730,902780,0.6923076923076923
93,903210,850980,0.7058823529411765
94,903210,392690,0.625
95,903210,902820,0.5882352941176471
96,903210,903031,0.5882352941176471
97,903210,842199,0.5789473684210527
98,903210,841490,0.6111111111111112
99,903210,848140,0.5882352941176471
100,840420,871419,0.5454545454545454
101,840420,871495,0.45454545454545453
102,840690,860310,0.6153846153846154
103,840690,860500,0.5
104,841199,848140,0.625
105,841199,902610,0.6153846153846154
106,841199,902620,0.6153846153846154
107,841199,848360,0.6153846153846154
108,841199,870390,0.6153846153846154
109,841199,902720,0.6153846153846154
110,841199,902750,0.6153846153846154
111,841199,842191,0.6153846153846154
112,841780,850300,0.64
113,841780,850163,0.5882352941176471
114,841780,848180,0.5882352941176471
115,841780,732183,0.5789473684210527
116,841790,850164,0.6521739130434783
117,841790,850300,0.64
118,841790,840219,0.6190476190476191
119,841790,847420,0.6190476190476191
120,841790,732510,0.6086956521739131
121,841790,700800,0.5909090909090909
122,841939,846291,0.6842105263157895
123,841939,841940,0.625
124,841939,841960,0.375
125,841939,841990,0.5789473684210527
126,841939,860799,0.5882352941176471
127,841989,841990,0.6
128,841989,903300,0.5769230769230769
129,841990,841370,0.6842105263157895
130,841990,842199,0.5789473684210527
131,841990,902680,0.5789473684210527
132,841990,730431,0.5789473684210527
133,841990,732690,0.5769230769230769
134,842121,390940,0.6190476190476191
135,842121,220110,0.47619047619047616
136,842121,732690,0.5769230769230769
137,842121,842833,0.6190476190476191
138,842129,902710,0.5454545454545454
139,842129,381511,0.5454545454545454
140,842139,841350,0.5714285714285714
141,842199,841490,0.6842105263157895
142,842199,850440,0.5789473684210527
143,842199,903290,0.5714285714285714
144,842199,902680,0.5789473684210527
145,842199,841370,0.631578947368421
146,842199,841480,0.5789473684210527
147,842199,392690,0.5833333333333334
148,842199,870892,0.631578947368421
149,842199,732690,0.5769230769230769
150,842199,846694,0.6666666666666666
151,842199,848190,0.631578947368421
