index,index_pais,pais,Country_code,ECI,ECI_rank,GCI,GCI_rank,GCP,GCP_rank,COI,COI_rank,exports,exports_rank
0,23,Alemania,DEU,2.153279376226887,3,3.582111781515366,1,1.9714476882592384,5,-7.079671248485853,122,1434724838962.1997,3
1,50,Italia,ITA,1.1234803716432205,20,2.816856789253292,2,2.9844603911395917,2,-1.7714825777818193,117,500659916140.39996,8
2,114,Estados Unidos,USA,1.8057605178806886,5,2.4689974987817447,3,1.5316755934358974,13,-1.957786276551075,120,1550953617762.6,2
3,5,Austria,AUT,1.6354233674243486,10,2.455413736045028,4,1.7994136077243268,8,-1.8958099998206235,118,158673140540.6,27
4,16,China,CHN,0.7437826030130527,29,2.2862522966597036,5,3.144154491830086,1,2.522575415875899,3,2279113423576.4,1
5,53,Japón,JPN,2.414575546186769,1,2.2464129711268312,6,1.0893673232104957,20,-2.827846731201,121,685827628013.4,4
6,33,Francia,FRA,1.4247912396604132,13,2.099613774736847,7,2.2423078386578306,4,-1.9212773697177075,119,528532963434.80005,6
7,22,República Checa,CZE,1.669891384336335,9,2.097819646691646,8,1.5723317013682414,12,-1.324736469955691,116,169514550013.40002,25
8,24,Dinamarca,DNK,1.064897038631269,22,2.0268515308583877,9,1.2195414629424681,17,-0.280672923267442,93,102897628886.59999,35
9,35,Reino Unido,GBR,1.5808504138576518,11,1.9449115117009308,10,1.3754643172731873,14,-0.9511443412576579,115,461094323261.6,9
10,103,Suecia,SWE,1.7705232397508586,7,1.814384182602473,11,1.1717699283394087,19,-0.6524340996230978,107,152821788866.8,29
11,102,Eslovenia,SVN,1.4390178531014837,12,1.6432740641730426,12,1.2412380597600554,16,-0.5811259973650399,104,30625154617.2,59
12,90,Polonia,POL,1.0320207885158053,23,1.6410958521178989,13,1.8537266487054134,7,-0.7404722250404182,110,215837923759.4,22
13,44,Hungría,HUN,1.397257408470913,14,1.5527679758391304,14,0.7588880164838347,27,-0.11072595940263807,80,109517155062.20001,32
14,29,España,ESP,0.7173725782167159,31,1.3439875707746198,15,2.61004134185635,3,1.2175280628289638,5,303724388472.2,13
15,94,Rumania,ROU,0.7123704726290975,32,1.2712992791155349,16,0.9107144930428119,25,-0.08969670538957329,76,68860538451.79999,40
16,30,Estonia,EST,0.8781289983855559,26,1.2307282371890327,17,0.8287639922406195,26,-0.1042350339802827,78,14855511468.2,71
17,32,Finlandia,FIN,1.7254061774178966,8,1.1508968870140377,18,0.5113213369073715,33,0.5689511395461979,24,67651978320.0,41
18,14,Suiza,CHE,2.3256093613893825,2,1.0541177683989718,19,0.3581308436213549,40,0.8408463853741158,8,299104894190.0,14
19,43,Croacia,HRV,0.6632207915263046,37,1.0458362637640837,20,0.9925633952109568,23,-0.08433803707034028,75,13897082750.6,72
20,91,Portugal,PRT,0.2652481926099509,45,0.9838030172935108,21,1.7632127933634856,9,1.7832975847759551,4,58965152129.0,46
21,101,Eslovaquia,SVK,1.3217718062920767,15,0.9772304782462703,22,0.6458112935707984,29,-0.011871445544515026,67,78951580990.6,38
22,65,Lituania,LTU,0.711076089488107,33,0.9413978395461267,23,1.290839959434764,15,0.008999839343355036,66,26568460509.0,62
23,70,México,MEX,1.1727915087839504,19,0.8903431010865952,24,0.10640279586124786,47,0.5701791166885386,23,409709650953.6,11
24,8,Bulgaria,BGR,0.3603939934397448,42,0.8612869796347957,25,1.1972284192647362,18,0.4891808861787278,33,29493097670.0,60
25,58,Corea del Sur,KOR,1.7980446531441332,6,0.7729600083041315,26,0.6089173690278684,30,0.2900620636484984,43,554746535574.4,5
26,66,Letonia,LVA,0.6721843827462722,35,0.7703114892058482,27,0.9305526869816061,24,0.07417490402379506,58,12851996047.8,74
27,109,Turquía,TUR,0.19861832626561315,48,0.7217436090433077,28,1.8967903482264368,6,2.618469450136045,1,154222679639.80002,28
28,46,India,IND,0.35939401787571335,43,0.657621834290376,29,1.7054180863914696,10,2.611458225971435,2,289116313284.8,15
29,49,Israel,ISR,1.2938580279373175,16,0.6093203494075715,30,0.27366063476234714,43,0.563940720687196,26,62164707274.2,44
30,81,Países Bajos,NLD,1.271783916652218,18,0.5701267585730039,31,1.6330966902358628,11,-0.11098064313703747,81,511874285178.39996,7
31,104,Tailandia,THA,0.7749244413674223,27,0.5107718950712831,32,1.06353647585907,21,0.44396616618021423,35,229683946899.8,20
32,10,Bielorrusia,BLR,0.7187645912272247,30,0.44105173452713925,33,0.3761498506477995,38,-0.06380554960308192,72,24862451597.600002,64
33,78,Malasia,MYS,1.0231049936558099,24,0.40001462617500316,34,0.3543549944583617,41,0.5686136908638415,25,240138124732.4,19
34,99,Singapur,SGP,1.9167532508425242,4,0.32205799555209463,35,-0.05581620542719598,51,1.0138233693134389,6,285364413899.60004,16
35,108,Túnez,TUN,-0.22197883795965992,65,0.2809030279320893,36,0.40153993035784846,37,0.11382063692723164,54,15418561578.400002,70
36,13,Canadá,CAN,1.0657104433027869,21,0.2630012708055285,37,0.4426050412599515,36,0.614568799378433,18,419685550629.19995,10
37,61,Líbano,LBN,0.11929342128744833,53,0.2532687760211222,38,0.7141919385108024,28,0.2713771132202134,45,3154654230.0,104
38,112,Ucrania,UKR,0.5808462134988529,38,0.24674389194115393,39,0.1729694550508517,46,0.178381267265097,52,45405646826.2,49
39,9,Bosnia y Herzegovina,BIH,0.34361204299521403,44,0.22458126101367867,40,0.23409051903278513,45,-0.2758028040027352,92,6091925135.8,92
40,119,Sudáfrica,ZAF,0.21041310580586928,47,0.1470636024029381,41,0.48804458685120405,34,0.5765305518572824,21,99241773171.6,36
41,82,Noruega,NOR,0.9240559468825243,25,0.044978777409107225,42,-0.40070432401739897,67,0.6886095645075461,13,105752967174.19997,34
42,41,Hong Kong,HKG,0.6823688706728523,34,0.00712729025764169,43,1.026463556574022,22,0.6109066134653109,19,107829797013.4,33
43,39,Grecia,GRC,0.04265257303603838,57,-0.0522094124747389,44,0.3640951217213178,39,-0.059675036400456544,71,31594346939.8,58
44,88,Filipinas,PHL,0.4044871565698909,41,-0.06417418861665276,45,-0.04282265658741464,49,0.40914534258908686,36,73313403820.2,39
45,52,Jordán,JOR,-0.062124202138525264,61,-0.22746717138796582,46,0.07377541525288682,48,-0.26756567531577435,91,8028996306.6,86
46,117,Vietnam,VNM,-0.5341271063968644,77,-0.24738690045032177,47,0.3290159951902143,42,0.7254138461389127,12,202641813894.6,24
47,28,Egipto,EGY,-0.34932456256175604,69,-0.25988011156005036,48,0.5335635634379661,32,0.5056931678482081,31,27598642745.4,61
48,45,Indonesia,IDN,-0.23108491661295594,66,-0.28850598427255125,49,0.4674354214178384,35,0.9446831413450257,7,164794186205.2,26
49,36,Georgia,GEO,-0.09403581633134829,62,-0.3123073424142379,50,-0.527839435295211,76,-0.1628260606037976,84,2557004125.4,111
50,86,Panamá,PAN,0.16550143285248636,50,-0.32873102741422117,51,0.5433110992481894,31,0.3710620854376132,39,6772867014.799999,90
51,64,Sri Lanka,LKA,-0.8989633593934235,96,-0.37961347256963957,52,-0.05075206827642919,50,-0.1569987798537473,83,10579455577.199999,79
52,95,Rusia,RUS,0.7720990499660163,28,-0.3954725320660397,53,-0.45508238519708577,70,0.7528747262219478,11,397209024385.8,12
53,12,Brasil,BRA,0.5489481743378148,39,-0.4033881688469461,54,-0.14456880856379112,57,0.6541899280853843,15,208769005027.40002,23
